,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarterly,quarterly_lower,quarterly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-05-01,1774.195272,3095.3841956369333,13238.663892579018,1774.195272,1774.195272,6419.109113968893,6419.109113968893,6419.109113968893,6419.109113968893,6419.109113968893,6419.109113968893,0.0,0.0,0.0,8193.304385968893
1,2020-08-01,1395.7778682823061,2746.014315782161,12728.310213158526,1395.7778682823061,1395.7778682823061,6419.109114002313,6419.109114002313,6419.109114002313,6419.109114002313,6419.109114002313,6419.109114002313,0.0,0.0,0.0,7814.886982284619
2,2020-11-01,1017.3604659926192,2608.3557174159732,12290.178424042902,1017.3604659926192,1017.3604659926192,6419.109113929995,6419.109113929995,6419.109113929995,6419.109113929995,6419.109113929995,6419.109113929995,0.0,0.0,0.0,7436.469579922615
3,2021-02-01,638.9430649848932,2217.5972832813527,11802.91724741143,638.9430649848932,638.9430649848932,6419.109114016285,6419.109114016285,6419.109114016285,6419.109114016285,6419.109114016285,6419.109114016285,0.0,0.0,0.0,7058.052179001179
4,2021-05-01,272.86536255958003,13301.938541201256,22859.0705985024,272.86536255958003,272.86536255958003,17807.152805990903,17807.152805990903,17807.152805990903,17807.152805990903,17807.152805990903,17807.152805990903,0.0,0.0,0.0,18080.018168550483
5,2021-08-01,-105.55203798019271,12737.916986587623,22619.54811535452,-105.55203798019271,-105.55203798019271,17807.15280598514,17807.15280598514,17807.15280598514,17807.15280598514,17807.15280598514,17807.15280598514,0.0,0.0,0.0,17701.600768004948
6,2021-11-01,-483.96943741007453,12264.710802258334,22190.39652413608,-483.96943741007453,-483.96943741007453,17807.15280600037,17807.15280600037,17807.15280600037,17807.15280600037,17807.15280600037,17807.15280600037,0.0,0.0,0.0,17323.183368590297
7,2022-02-01,-862.3868352836989,11841.890265941032,22305.588943362287,-862.3868352836989,-862.3868352836989,17807.15280600627,17807.15280600627,17807.15280600627,17807.15280600627,17807.15280600627,17807.15280600627,0.0,0.0,0.0,16944.765970722572
8,2022-05-01,-1228.464535952382,4078.3698448777554,13932.850455033631,-1228.464535952382,-1228.464535952382,10266.693083979408,10266.693083979408,10266.693083979408,10266.693083979408,10266.693083979408,10266.693083979408,0.0,0.0,0.0,9038.228548027026
9,2022-08-01,-1606.8819341597932,3589.9686147556463,13528.629635306816,-1606.8819341597932,-1606.8819341597932,10266.693083945987,10266.693083945987,10266.693083945987,10266.693083945987,10266.693083945987,10266.693083945987,0.0,0.0,0.0,8659.811149786194
10,2022-11-01,-1985.2993323672051,3321.966397220205,13292.850681178172,-1985.2993323672051,-1985.2993323672051,10266.693083978653,10266.693083978653,10266.693083978653,10266.693083978653,10266.693083978653,10266.693083978653,0.0,0.0,0.0,8281.393751611447
11,2023-02-01,-2363.716730574617,3051.3555036413723,12574.486079359118,-2363.716730574617,-2363.716730574617,10266.693084050972,10266.693084050972,10266.693084050972,10266.693084050972,10266.693084050972,10266.693084050972,0.0,0.0,0.0,7902.976353476355
12,2023-03-31,-2602.2842207488548,-992.163189601803,8542.268150730592,-2602.284236518719,-2602.2842042031903,6419.1091140335975,6419.1091140335975,6419.1091140335975,6419.1091140335975,6419.1091140335975,6419.1091140335975,0.0,0.0,0.0,3816.8248932847428
