,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarterly,quarterly_lower,quarterly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-10-01,31124.804874999998,5938.4903476962,114436.66614873799,31124.804874999998,31124.804874999998,27523.225578274967,27523.225578274967,27523.225578274967,27523.225578274967,27523.225578274967,27523.225578274967,0.0,0.0,0.0,58648.030453274965
1,2021-01-01,31902.74948490833,3018.8046824974795,115462.5967965411,31902.74948490833,31902.74948490833,27523.225578198264,27523.225578198264,27523.225578198264,27523.225578198264,27523.225578198264,27523.225578198264,0.0,0.0,0.0,59425.9750631066
2,2021-04-01,32663.782256257327,82379.49146360459,187235.2305733658,32663.782256257327,32663.782256257327,101116.79125985502,101116.79125985502,101116.79125985502,101116.79125985502,101116.79125985502,101116.79125985502,0.0,0.0,0.0,133780.57351611234
3,2021-07-01,33433.27094705323,135578.53216370993,247460.55412043675,33433.27094705323,33433.27094705323,159679.92135671785,159679.92135671785,159679.92135671785,159679.92135671785,159679.92135671785,159679.92135671785,0.0,0.0,0.0,193113.1923037711
4,2021-10-01,34211.21555726027,138859.52440597836,251250.58568299876,34211.21555726027,34211.21555726027,159679.92135660758,159679.92135660758,159679.92135660758,159679.92135660758,159679.92135660758,159679.92135660758,0.0,0.0,0.0,193891.13691386784
5,2022-01-01,34989.16016786865,139091.73547407423,253015.73584955555,34989.16016786865,34989.16016786865,159679.9213568989,159679.9213568989,159679.9213568989,159679.9213568989,159679.9213568989,159679.9213568989,0.0,0.0,0.0,194669.08152476756
6,2022-04-01,35750.192936730105,190560.7921977235,302040.15538867004,35750.192936730105,35750.192936730105,209705.45295302273,209705.45295302273,209705.45295302273,209705.45295302273,209705.45295302273,209705.45295302273,0.0,0.0,0.0,245455.64588975284
7,2022-07-01,36519.681623539196,80406.31856657563,198650.65955985856,36519.681623539196,36519.681623539196,101116.79126000965,101116.79126000965,101116.79126000965,101116.79126000965,101116.79126000965,101116.79126000965,0.0,0.0,0.0,137636.47288354885
8,2022-10-01,37297.62622858272,81539.11847187836,192892.48087543796,37297.62622858272,37297.62622858272,101116.79125984368,101116.79125984368,101116.79125984368,101116.79125984368,101116.79125984368,101116.79125984368,0.0,0.0,0.0,138414.4174884264
9,2023-01-01,38075.57083362623,85770.02805528788,192090.61950436834,38075.57083362623,38075.57083362623,101116.79125976872,101116.79125976872,101116.79125976872,101116.79125976872,101116.79125976872,101116.79125976872,0.0,0.0,0.0,139192.36209339497
10,2023-04-01,38836.60359942967,8436.2324927259,120339.76830339478,38836.60359942967,38836.60359942967,27523.225578178022,27523.225578178022,27523.225578178022,27523.225578178022,27523.225578178022,27523.225578178022,0.0,0.0,0.0,66359.8291776077
11,2023-06-30,39597.63636523311,84070.9154907677,196633.54854121146,39597.63621964361,39597.636507089774,101116.79125996625,101116.79125996625,101116.79125996625,101116.79125996625,101116.79125996625,101116.79125996625,0.0,0.0,0.0,140714.42762519937
